id,username,song_title,total_stream_time,country,last_stream_date,last_device_used
137,Yogscast,ETA,10349,Nigeria,2024-06-25,Mobile
138,wtcN,Cookie,11483,Hungary,2024-11-13,Smart TV
139,DonnyETA,ETA,10760,Romania,2024-09-15,Mobile
140,sfory,New Jeans,12175,Czech Republic,2024-06-04,Desktop
141,CDNThe3rd,ETA,12895,Israel,2024-04-16,Smart TV
142,SkinnyJeans,ETA,10910,Argentina,2024-05-21,Desktop
143,Giantwaffle,Super Shy,12464,Bangladesh,2024-09-14,Tablet
144,IzakOOO,New Jeans,11048,Poland,2024-09-01,Mobile
145,Greekgodx,Cool With You,12716,Belgium,2024-08-17,Smart TV
146,Jahrein,ASAP,11858,Indonesia,2024-11-26,Mobile
147,UberHaxorNova,New Jeans,12907,Italy,2024-02-25,Mobile
148,dogdog,Ditto,11592,Egypt,2024-07-06,Desktop
149,SkipNhO,Cookie,12945,Czech Republic,2024-05-24,Desktop
150,Shlorox,Hype Boy,10856,Finland,2024-01-18,Tablet
151,39daph,ETA,11301,Thailand,2024-01-26,Mobile
152,Dancing2DMun,Cool With You,12005,Portugal,2024-05-12,Desktop
153,JohnPitter,New Jeans,12286,Poland,2024-03-21,Tablet
154,CasinoDaddy,OMG,11230,Egypt,2024-01-07,Desktop
155,Anton,Cookie,17095,Philippines,2024-03-27,Smart TV
156,imaqtpie,ASAP,12098,Netherlands,2024-05-01,Smart TV
157,EWROON,Hype Boy,11071,Argentina,2024-12-28,Smart TV
158,imls,OMG,12169,Australia,2024-11-06,Tablet
159,chocoTaco,Cookie,11198,Kuwait,2024-08-12,Tablet
160,Mathil1,ASAP,10085,Brazil,2024-01-22,Tablet
161,Klean,New Jeans,18493,Saudi Arabia,2024-01-06,Smart TV
162,Radditunes,Super Shy,11771,Peru,2024-06-02,Mobile
163,H2P_Gucio,Cool With You,12430,Italy,2024-01-10,Mobile
164,moistcr1tikal,Hype Boy,10123,Italy,2024-08-09,Desktop
165,EmadGG,Ditto,12225,Philippines,2024-05-17,Desktop
166,C_a_k_e,OMG,12500,Uzbekistan,2024-01-16,Mobile
167,JonVlogs,Attention,11782,Nepal,2024-09-08,Smart TV
168,FENGRUSH,Hype Boy,11776,Australia,2024-04-28,Desktop
169,jovirone,Cookie,10963,Czech Republic,2024-10-02,Smart TV
170,Vinesauce,New Jeans,10089,France,2024-07-08,Mobile
171,BobRoss,Cool With You,11180,Bangladesh,2024-01-06,Desktop
172,Rivals,Cookie,13149,Malaysia,2024-10-27,Desktop
173,Faker,Hype Boy,12004,Bangladesh,2024-12-05,Desktop
174,CriticalRole,Cookie,10288,Indonesia,2024-08-26,Tablet
175,AustinShow,Super Shy,12277,Philippines,2024-10-05,Tablet
176,IWillDominate,Ditto,10014,Denmark,2024-04-15,Smart TV
177,RioGrady,ETA,12991,South Africa,2024-05-27,Mobile
178,Nick28T,Hype Boy,12648,France,2024-07-13,Mobile
179,B0aty,Attention,12585,Morocco,2024-05-03,Desktop
180,Diegosaurs,Attention,13125,Ukraine,2024-12-22,Smart TV
181,relaxing234,Cookie,12853,Bangladesh,2024-04-03,Tablet
182,Nmplol,Cool With You,13269,China,2024-05-18,Mobile
183,Llobeti4,Hype Boy,12191,Chile,2024-02-11,Desktop
184,Chap,OMG,10206,Canada,2024-06-10,Smart TV
185,mistermv,Attention,10741,Denmark,2024-01-27,Tablet
186,SummonersInn,ASAP,12595,Kenya,2024-10-02,Smart TV
187,Bonjwa,Cool With You,11895,Turkey,2024-09-23,Desktop
188,Sequisha,Attention,12204,Colombia,2024-01-23,Smart TV
189,Gladd,Super Shy,10990,Japan,2024-12-12,Smart TV
190,pokelawls,Ditto,12953,India,2024-02-26,Desktop
191,midbeast,Hype Boy,10250,Egypt,2024-06-14,Smart TV
192,Ramee,Super Shy,10131,Switzerland,2024-06-09,Smart TV
193,Voyboy,Attention,22594,USA,2024-03-07,Smart TV
194,SPYGEA,Attention,11809,Japan,2024-11-17,Smart TV
195,Mongraal,Ditto,12705,Kazakhstan,2024-01-14,Mobile
196,Smurfdomuca,Hype Boy,12179,Brazil,2024-03-08,Tablet
197,Ninja,Hype Boy,11497,Austria,2024-07-11,Mobile
198,Emongg,ASAP,11316,Russia,2024-02-02,Tablet
199,njzz_cutie,Cookie,11010,Nepal,2024-06-10,Tablet
200,melharucos,Ditto,13259,Norway,2024-09-10,Desktop
201,72hrs,Attention,12423,Poland,2024-09-15,Tablet
202,ESAMarathon,OMG,12834,Vietnam,2024-06-26,Mobile
203,aXtLOL,Super Shy,20170,Morocco,2024-01-08,Smart TV
204,Kyle,OMG,11850,Israel,2024-02-10,Desktop
205,Homyatol,Cookie,10108,Denmark,2024-01-18,Smart TV
206,Mithrain,Cookie,13164,China,2024-11-15,Mobile
207,ziGueira,New Jeans,11008,Nigeria,2024-11-23,Tablet
208,Aydan,Hype Boy,12919,Indonesia,2024-04-22,Tablet
209,FollowGrubby,Attention,11576,Colombia,2024-01-07,Tablet
210,mch_AGG,Ditto,19174,Czech Republic,2024-11-02,Smart TV
211,HoneyMad,ETA,12769,South Korea,2024-09-10,Smart TV
212,Ponce,Hype Boy,10275,Morocco,2024-03-17,Tablet
213,PietSmiet,ASAP,10274,Sri Lanka,2024-03-02,Smart TV
214,blxckoutz,OMG,11504,Indonesia,2024-05-04,Desktop
215,m0xyy,Super Shy,10555,Portugal,2024-01-28,Smart TV
216,Deadlyslob,Attention,12083,Denmark,2024-08-09,Desktop
217,alexelcapo,ASAP,13255,New Zealand,2024-10-17,Smart TV
218,yeTz,ASAP,10304,Chile,2024-04-24,Tablet
219,BastiGHG,Hype Boy,12322,Portugal,2024-04-19,Desktop
220,Losantos,Ditto,12236,Norway,2024-06-02,Desktop
221,Perxitaa,Attention,11631,France,2024-10-25,Smart TV
222,Doigby,ETA,13141,Argentina,2024-06-27,Mobile
223,BarbarousKing,Super Shy,10469,Thailand,2024-10-05,Mobile
224,Leopard,Attention,11015,Israel,2024-05-15,Smart TV
225,Gianna27,Ditto,11764,Saudi Arabia,2024-06-13,Tablet
226,ShannonP,OMG,11757,Romania,2024-02-22,Desktop
227,Tumblurr,ETA,12252,China,2024-08-20,Desktop
228,KingGeorge,ETA,12336,Bangladesh,2024-07-14,Desktop
229,Distortion2,New Jeans,11906,India,2024-08-28,Desktop
230,buddha,Ditto,11735,Japan,2024-07-25,Mobile
231,KingRichard,Hype Boy,11810,Belgium,2024-09-12,Mobile
232,Towelliee,Cool With You,10816,Germany,2024-09-21,Desktop
233,DreamLeague,OMG,10550,Sri Lanka,2024-04-14,Smart TV
234,VooDooSh,Cool With You,11975,Colombia,2024-03-21,Desktop
235,A_Seagull,ETA,10874,USA,2024-03-18,Tablet
236,Skyyart,Attention,11742,France,2024-01-23,Desktop
237,knekro,OMG,11994,Sweden,2024-07-05,Tablet
238,fl0m,OMG,10865,Russia,2024-10-12,Desktop
239,boyMinORu,New Jeans,11097,Sri Lanka,2024-04-23,Smart TV
240,Aurateur,New Jeans,12737,Belgium,2024-07-23,Smart TV
241,UnknownxArmy,Super Shy,10294,Bangladesh,2024-06-19,Mobile
242,Grimmmz,ETA,12425,Indonesia,2024-12-14,Mobile
243,polsat,Cookie,11617,Algeria,2024-08-16,Smart TV
244,ELoTRiX,Cool With You,11328,Austria,2024-08-18,Desktop
245,NateHill,New Jeans,12647,South Africa,2024-10-06,Tablet
246,shongxbong,Ditto,10131,Chile,2024-06-21,Mobile
247,BurkeBlack,ETA,13254,Argentina,2024-01-24,Tablet
248,Felps,Ditto,12587,Peru,2024-06-04,Desktop
249,boxbox,Cool With You,10059,Israel,2024-02-10,Tablet
250,tokitoki,OMG,12925,Turkey,2024-05-05,Tablet
251,ANGRYPUG,ASAP,10627,Belgium,2024-03-13,Tablet
252,Flashpoint,Ditto,10448,Spain,2024-11-11,Tablet
253,LowkeyGood,ASAP,11076,Indonesia,2024-06-15,Desktop
254,Magic,Cookie,10497,Czech Republic,2024-03-19,Smart TV
255,Trick2g,Cookie,11667,Saudi Arabia,2024-07-26,Smart TV
256,Loeya,ASAP,11053,Czech Republic,2024-07-17,Mobile
257,TheKAIRI78,OMG,10571,Mexico,2024-02-10,Desktop
258,Shotz,Cool With You,11468,Norway,2024-08-22,Tablet
259,JesusAVGN,Super Shy,10681,USA,2024-10-16,Desktop
260,Letshe,Attention,12700,Nigeria,2024-11-21,Tablet
261,AshleyJoe,Cool With You,11285,Portugal,2024-11-05,Mobile
262,Staiy,Attention,11322,Morocco,2024-05-03,Desktop
263,QuattroAce,Super Shy,11424,Turkey,2024-01-16,Mobile
264,dafran,Attention,12538,Bangladesh,2024-02-08,Desktop
265,crokeyz,OMG,12426,Canada,2024-08-15,Smart TV
266,bateson87,ETA,10979,Egypt,2024-04-05,Desktop
267,Shiphtur,Attention,10089,Nepal,2024-03-09,Tablet
268,ReventXz,New Jeans,12833,Thailand,2024-09-07,Desktop
269,PCY_SC2,Ditto,11847,Mexico,2024-08-17,Smart TV
270,DesertHeartsRecords,Hype Boy,11807,Romania,2024-12-26,Mobile
271,Anthony_Kongphan,Super Shy,12774,Indonesia,2024-06-25,Smart TV
272,Steelmage,ETA,11348,Greece,2024-08-13,Smart TV
273,tommyinnit,ETA,13099,Portugal,2024-10-28,Smart TV
274,StereOnline,Cookie,11955,Chile,2024-03-10,Smart TV
275,LifeGoesOn,ETA,13091,Portugal,2024-08-11,Desktop
276,bysTaXx,Attention,10199,Algeria,2024-10-12,Tablet
277,yamatonjp,OMG,12847,Brazil,2024-07-06,Mobile
278,just_ns,Cool With You,12074,Nigeria,2024-02-04,Mobile
279,Sjow,Cookie,13000,Spain,2024-06-26,Desktop
280,BlackUFA,ETA,10893,Ukraine,2024-02-06,Desktop
281,modestal,OMG,12332,Italy,2024-07-19,Desktop
282,Minos,Attention,12137,Sweden,2024-06-23,Smart TV
283,WELOVE,OMG,10616,Finland,2024-02-25,Tablet
284,bt21_love,Super Shy,10979,Peru,2024-08-28,Tablet
285,Payo,Ditto,12768,Poland,2024-07-11,Tablet
286,daltoosh,Super Shy,10622,Italy,2024-07-21,Desktop
287,pijack11,Super Shy,13077,Colombia,2024-07-03,Desktop
288,Bingoo,Hype Boy,13194,New Zealand,2024-10-08,Mobile
289,BobbyPoff,New Jeans,11522,Indonesia,2024-02-22,Tablet
290,Savjz,Hype Boy,18581,Japan,2024-11-10,Smart TV
291,safe_place,New Jeans,12405,Romania,2024-01-05,Tablet
292,NymN,Hype Boy,13061,Portugal,2024-03-07,Tablet
293,pqueen,Cookie,12178,Sri Lanka,2024-11-09,Tablet
294,FORMAL,Attention,10668,Netherlands,2024-04-12,Tablet
295,CooLife,ETA,11849,Indonesia,2024-04-24,Tablet
296,Brawlhalla,Hype Boy,12045,Malaysia,2024-03-12,Tablet
297,resttpowered,ETA,12994,Kazakhstan,2024-06-16,Smart TV
298,IamCristinini,Cool With You,12517,Belgium,2024-12-26,Mobile
299,2hard2die,OMG,10291,Thailand,2024-05-19,Smart TV
300,kyo1984123,Cool With You,11861,France,2024-06-04,Smart TV
301,LigaPro1,Ditto,11112,South Korea,2024-08-15,Smart TV
302,EASPORTSFIFA,Attention,11414,Pakistan,2024-01-19,Smart TV
303,masonlee2,OMG,12797,Czech Republic,2024-07-05,Smart TV
304,jean_mago,Cookie,17461,Canada,2024-04-16,Smart TV
305,WARDELL,Super Shy,12928,New Zealand,2024-01-24,Desktop
306,Nikolarn,Super Shy,11096,Russia,2024-01-23,Tablet
307,adolfz,New Jeans,13079,Mexico,2024-04-09,Smart TV
308,Veritas,Attention,12668,Kenya,2024-03-09,Desktop
309,Slushpuppy,ASAP,12834,USA,2024-04-24,Desktop
310,AvoidingThePuddle,OMG,11701,South Africa,2024-05-02,Mobile
311,NeVeR_LosEs,Hype Boy,10311,Philippines,2024-06-21,Tablet
312,ElcanaldeJoaco,ASAP,12557,Pakistan,2024-11-18,Desktop
313,k3soju,Super Shy,12430,Uzbekistan,2024-08-16,Mobile
314,Overpow,ETA,13207,Spain,2024-07-06,Desktop
315,AntoineDaniel,Cookie,11804,Brazil,2024-12-27,Tablet
316,bytarifaaa,OMG,12303,UK,2024-03-10,Desktop
317,hyperactIVE,ETA,11317,Italy,2024-04-13,Tablet
318,Rakanoom12,Hype Boy,20947,Nepal,2024-01-07,Smart TV
319,LexVeldhuis,Super Shy,10243,Netherlands,2024-04-24,Mobile
320,Ko0416,Super Shy,11656,Venezuela,2024-11-10,Tablet
321,Syndicate,Attention,12125,Finland,2024-05-20,Smart TV
322,The_Happy_Whale,Cookie,10893,Saudi Arabia,2024-10-05,Mobile
323,guit88man,Cool With You,11362,Sri Lanka,2024-12-08,Mobile
324,keanelol,OMG,10254,Japan,2024-05-01,Mobile
325,Mickalow,Cookie,13198,Spain,2024-11-01,Desktop
326,PapaMC,Super Shy,13235,Russia,2024-04-19,Mobile
327,OnnieC,New Jeans,10894,New Zealand,2024-06-26,Desktop
328,WOKE,ETA,11983,Indonesia,2024-11-08,Smart TV
329,IlloJuan,ASAP,10017,Colombia,2024-08-01,Tablet
330,tarzaned,Ditto,12934,Hungary,2024-02-18,Mobile
331,HGmony,OMG,10084,Kazakhstan,2024-02-05,Desktop
332,goncho,ETA,10231,Sri Lanka,2024-12-13,Smart TV
333,RoyalPhunk,New Jeans,10515,Kenya,2024-07-25,Tablet
334,Rush,Hype Boy,12124,Germany,2024-12-09,Smart TV
335,Beaver,OMG,10291,Greece,2024-06-12,Tablet
336,Rammus53,ETA,11077,Ukraine,2024-10-28,Mobile
337,Dementardo,Attention,13091,Italy,2024-02-23,Tablet
338,sleepy,Hype Boy,11978,Kazakhstan,2024-07-07,Mobile
339,AlphaCast,Cookie,12904,Sri Lanka,2024-10-06,Smart TV
340,sips_,Ditto,10887,Germany,2024-12-27,Mobile
341,LuluLuvely,ETA,11717,Canada,2024-06-01,Desktop
342,Smoke,Hype Boy,11833,Kazakhstan,2024-11-17,Desktop
343,limit_maximum,ASAP,12734,Russia,2024-06-14,Desktop
344,UNODOSTRES,Super Shy,11901,Italy,2024-05-07,Tablet
345,thedarkness,Super Shy,11147,Australia,2024-08-26,Tablet
346,PENTA,Hype Boy,12925,Russia,2024-06-18,Mobile
347,SNEUX,Attention,10272,Netherlands,2024-12-28,Mobile
348,ops1x,Cool With You,10335,Kuwait,2024-11-25,Smart TV
349,Odablock,ASAP,12667,Russia,2024-09-06,Smart TV
350,DarioMoccia,ETA,11793,Uzbekistan,2024-01-20,Mobile
351,RaizQT,Attention,11491,USA,2024-08-25,Desktop
352,Replays,OMG,12461,Spain,2024-05-16,Desktop
353,EliaZ,Attention,12767,Poland,2024-04-23,Smart TV
354,Gosu,Hype Boy,12955,Thailand,2024-01-06,Tablet
355,RiffTrax,Hype Boy,13120,Italy,2024-10-15,Desktop
356,supertf,Cool With You,11854,Vietnam,2024-06-21,Tablet
357,Warframe,Attention,13180,Indonesia,2024-12-18,Smart TV
358,DavyJones,Attention,12416,Japan,2024-09-14,Tablet
359,MiraHoo,Hype Boy,13088,Peru,2024-06-07,Mobile
360,KarmikKoala,Cool With You,12873,Kazakhstan,2024-04-17,Tablet
361,itmeJP,ASAP,12419,USA,2024-08-24,Desktop
362,NairoMK,Ditto,13215,UAE,2024-01-20,Desktop
363,Annoying,Cookie,12998,France,2024-11-01,Mobile
364,Sh4dowehhh,Cookie,10873,China,2024-01-18,Mobile
365,JERICHO,Super Shy,10966,Norway,2024-09-08,Desktop
366,Albralelie,New Jeans,12292,Kenya,2024-04-19,Smart TV
367,lolesportsla,New Jeans,10301,Canada,2024-07-25,Desktop
368,mL7support,ETA,11617,Belgium,2024-06-20,Mobile
369,GoldGlove,Cookie,11928,Norway,2024-11-09,Smart TV
370,Nattank,Attention,11914,Vietnam,2024-06-20,Mobile
371,Moondye7,Cool With You,12186,South Korea,2024-08-01,Smart TV
372,Jerma985,Super Shy,12448,Canada,2024-06-09,Desktop
373,Etoiles,Super Shy,11761,Ukraine,2024-07-04,Smart TV
374,hardchannel,Hype Boy,11180,Norway,2024-05-01,Desktop
375,R6esportsBR,Cool With You,10037,Malaysia,2024-08-27,Tablet
376,pimpimenta,Cookie,12131,India,2024-06-06,Mobile
377,SaltyBet,New Jeans,11609,Nigeria,2024-11-26,Tablet
378,harbleu,Hype Boy,11001,Czech Republic,2024-05-23,Smart TV
379,LeBouseuh,New Jeans,11900,Germany,2024-02-17,Smart TV
380,MckyMoore,ETA,11990,Bangladesh,2024-03-03,Desktop
381,Otzdarva,ETA,12871,Greece,2024-09-19,Smart TV
382,XIWEN,ASAP,12484,Norway,2024-02-26,Desktop
383,Timmac,Super Shy,10365,Qatar,2024-11-20,Mobile
384,lolpacifictw,Hype Boy,10909,Vietnam,2024-03-04,Tablet
385,c9judite,ETA,12782,Romania,2024-05-13,Mobile
386,Jankos,Hype Boy,10845,Saudi Arabia,2024-07-24,Desktop
387,zEkO,Cool With You,10551,Czech Republic,2024-08-08,Tablet
388,Pace22,OMG,12605,Turkey,2024-06-25,Desktop
389,chistor_,Cookie,11807,Nepal,2024-06-21,Tablet
390,Recrent,Attention,11622,UK,2024-08-06,Smart TV
391,Flight23white,Attention,10993,Italy,2024-09-06,Mobile
392,maxim,Cookie,13057,Austria,2024-06-02,Desktop
393,hastad,Ditto,11208,South Africa,2024-09-18,Mobile
394,Peereira7,Cool With You,12632,South Africa,2024-06-07,Smart TV
395,DownToQuest,OMG,13247,Venezuela,2024-04-10,Desktop
396,Loserfruit,Attention,11124,Sri Lanka,2024-11-14,Mobile
397,MarcaoRX,Cool With You,12468,Thailand,2024-07-11,Tablet
398,MoMaN,New Jeans,12915,Nigeria,2024-07-21,Desktop
399,JustCooman,New Jeans,10254,Saudi Arabia,2024-10-19,Desktop
400,QuickyBaby,ASAP,10491,Poland,2024-11-25,Desktop
401,aDrive,ASAP,10753,Sweden,2024-02-18,Tablet
402,Calebhart42,Cookie,10755,Indonesia,2024-05-21,Smart TV
403,flamuu,New Jeans,12245,Greece,2024-05-23,Mobile
404,ClintStevens,Ditto,12878,Nepal,2024-04-15,Mobile
405,Ampeterby7,Cookie,13021,UK,2024-12-12,Tablet
406,Oemji2,Attention,10761,Venezuela,2024-04-11,Smart TV
407,Solaaaa,Super Shy,10524,Hungary,2024-05-08,Mobile
408,Gfriend_love,Ditto,10995,Czech Republic,2024-09-02,Mobile
409,natalan,Attention,11481,Poland,2024-06-03,Desktop
410,PatoPapao,ASAP,11563,Nigeria,2024-05-06,Mobile
411,forever,Super Shy,10130,Nigeria,2024-09-13,Desktop
412,uhSnow,Hype Boy,12412,Brazil,2024-08-05,Desktop
